Label,v_closeness,
Snoop Dogg,0.000159666101501,
Pharrell Williams,0.000159665277435,
Busta Rhymes,0.000159665123711,
Nas,0.000159664990147,
Lil Wayne,0.000159664690261,
T.I.,0.000159664554179,
Ludacris,0.000159664481097,
Akon,0.000159664415576,
50 Cent,0.000159664397936,
Kanye West,0.000159664357615,
Rick Ross,0.000159664234134,
Mary J. Blige,0.000159663989691,
Jay-Z,0.000159663989691,
Eminem,0.000159663815809,
Mos Def,0.000159663760368,
The Game (2),0.000159663715008,
Fat Joe,0.000159663624288,
Q-Tip,0.000159663538607,
Jermaine Dupri,0.000159663352126,
Future (4),0.000159663079966,
Method Man,0.000159663064846,
P. Diddy,0.000159662868287,
Lil' Kim,0.000159662810327,
Kelly Rowland,0.000159662810327,
LL Cool J,0.000159662717087,
KRS-One,0.000159662712047,
B-Real,0.000159662686847,
DJ Khaled,0.000159662465089,
R. Kelly,0.000159662455009,
Wyclef Jean,0.000159662283651,
Missy Elliott,0.000159662243331,
Nate Dogg,0.000159662240811,
Fabolous,0.000159662215612,
T-Pain,0.000159662061893,
Eve (2),0.000159662021574,
DMX,0.000159662006454,
Too Short,0.000159661948495,
Notorious B.I.G.,0.000159661890536,
Mase,0.000159661867856,
Drake,0.000159661857777,
2Pac,0.000159661855257,
Funkmaster Flex,0.000159661756978,
Juvenile (2),0.000159661754458,
Coolio,0.000159661721699,
Sizzla,0.00015966166626,
Common,0.000159661625941,
Wiz Khalifa,0.000159661590661,
Mick Boogie,0.000159661547822,
Keri Hilson,0.000159661474744,
Memphis Bleek,0.000159661444504,
Snoop Dogg,0.000159666101501,
Pharrell Williams,0.000159665277435,
Busta Rhymes,0.000159665123711,
Nas,0.000159664990147,
Lil Wayne,0.000159664690261,
T.I.,0.000159664554179,
Assassins With Soul,9.9E-05,
Leftfield,0.00016,
Roots Manuva,0.00016,
Goldie,0.00016,
KRS-One,0.00016,
MC 900 Ft Jesus,9.9E-05,
DJ Zero,9.9E-05,
Ronny Jordan,0.00016,
Man Parrish,9.9E-05,
Freeze Force,9.9E-05,
The Herbaliser,0.00016,
The Unknown DJ,9.9E-05,
DJ Slip (3),9.9E-05,
X-Men (4),9.9E-05,
Danger Mouse,0.00016,
Jemini The Gifted One,0.00016,
J-Zone,0.00016,
DJ Food,9.9E-05,
DK (3),9.9E-05,
Greg Osby,0.00016,
C.L. Smooth,0.00016,
Dodge City Productions,9.9E-05,
Guida De Palma,9.9E-05,
Paul Hardcastle,9.9E-05,
Universal Funk (2),9.9E-05,
Jon Hassell,9.9E-05,
Bluescreen,9.9E-05,
Joey Jay,9.9E-05,
Norman Jay,9.9E-05,
MC Tunes,9.9E-05,
808 State,9.9E-05,
Sparky D,0.00016,
The Playgirls,0.00016,
High Fidelity Three,9.9E-05,
Sarah Dash,9.9E-05,
Fingathing,9.9E-05,
Mr. Scruff,9.9E-05,
Renard With No Regard,9.9E-05,
Ced What?,9.9E-05,
E.V.I.A.N.,9.9E-05,
The Atlantis Posse,9.9E-05,
Cunnie Williams,9.9E-05,
Monie Love,9.9E-05,
Rebel MC,0.00016,
Double Trouble,0.00016,
Queen Latifah,0.00016,
Movement 98,9.9E-05,
Carroll Thompson,9.9E-05,
Jack Costanzo,9.9E-05,
As One,9.9E-05,
Yesterdays New Quintet,9.9E-05,
Afrika Bambaataa & Soulsonic Force,9.9E-05,
Shango,9.9E-05,
Skye,0.00016,
The Plagiawrists,0.00016,
Various,0.00016,
D.St.,9.9E-05,
The Infinity Rappers,9.9E-05,
Fab 5 Freddy,9.9E-05,
B-Side,9.9E-05,
Jalaludin M. Nuriddin,9.9E-05,
Rusty Pendleton,9.9E-05,
The Toe Jammer,9.9E-05,
Sure Shot Three,9.9E-05,
Kicks Like A Mule,0.00016,
Longsy D,0.00016,
Dynamic Duo (2),9.9E-05,
Shaquan,9.9E-05,
Mr. Nasty,9.9E-05,
Power Jam,9.9E-05,
Chill Rob G,9.9E-05,
Barrington Levy,0.00016,
3B,9.9E-05,
The Brother D.,9.9E-05,
D.J. Short,9.9E-05,
Max Zeke,9.9E-05,
Gigolo Tony,9.9E-05,
Lacey Lace,9.9E-05,
MC Connection,9.9E-05,
C-Bank,9.9E-05,
Justin Warfield,9.9E-05,
The S.O.U.N.D.,9.9E-05,
Coon Daddy,9.9E-05,
DJ Godfather,9.9E-05,
Mos Def,0.00016,
Diverse,0.00016,
Prefuse 73,0.00016,
RJD2,9.9E-05,
Poppa Hopp,9.9E-05,
The Dirty Birds,9.9E-05,
Funky Fresh Few,0.00016,
Dual Control,0.00016,
Rae & Christian,9.9E-05,
Jungle Brothers,9.9E-05,
Mary J. Blige,0.00016,
Common,0.00016,
Omid,0.00016,
Josh Martinez,0.00016,
Massive Attack,0.00016,
Kut Masta Kurt,0.00016,
Masters Of Illusion,0.00016,
Afu-Ra,0.00016,
Mekon,9.9E-05,
Schoolly D,9.9E-05,
"Kenny ""Dope"" Gonzalez",0.00016,
The Mad Racket,0.00016,
Brooke Russell,0.00016,
Gentleman,0.00016,
Dynamix II,0.00016,
Too Tough Tee,0.00016,
DJ Koze,9.9E-05,
Adolf Noise,9.9E-05,
Aesop Rock,0.00016,
L-Fudge,0.00016,
Mathematik,0.00016,
Nigo,0.00016,
Scratch Perverts,0.00016,
Maxi Jazz,0.00016,
Soul Food Cafe,0.00016,
Tricky,0.00016,
Gravediggaz,0.00016,
DJ Shadow And The Groove Robbers,0.00016,
Chief Xcel,0.00016,
Cut Chemist,0.00016,
Deep Puddle Dynamics,9.9E-05,
Anticon,9.9E-05,
Byron Davis & The Fresh Krew,9.9E-05,
Special K.M.C.,9.9E-05,
Darth Fader,9.9E-05,
Scarecrow Willy,9.9E-05,
The Infesticons,9.9E-05,
The Majesticons,9.9E-05,
Roger Sanchez,0.00016,
Kurtis Mantronik,0.00016,
EPMD,0.00016,
Screechy Dan,0.00016,
Boomoperators,0.00016,
Funckarma,0.00016,
White Boy Mike,0.00016,
DJ The Boy,0.00016,
"Eddie ""D""",9.9E-05,
Galaxxy,9.9E-05,
Chris De Luca,9.9E-05,
Peabird,9.9E-05,
Axxis,0.00016,
Thomilla,0.00016,
Afrob,0.00016,
Cyclops 4000,0.00016,
Sir Menelik,0.00016,
Breezy Beat MC,0.00016,
Grandmaster Flash & The Furious Five,0.00016,
Duke Bootee,0.00016,
Boom Bip,9.9E-05,
Dose One,9.9E-05,
Daphreephunkateerz,9.9E-05,
Aleph (3),9.9E-05,
James Brown,9.9E-05,
Fresh Celeste,9.9E-05,
M4 Sers,9.9E-05,
Pete Tong,9.9E-05,
Paul Oakenfold,9.9E-05,
Jon Carter,9.9E-05,
D-Def-Conection,9.9E-05,
"Jerome ""Cain Dog"" M. Cain",9.9E-05,
DJ Laz,0.00016,
Danny D (2),0.00016,
Prince Rahiem,0.00016,
Beat Master Clay D.,0.00016,
Jock D,9.9E-05,
DJ Swift (4),9.9E-05,
Spoonie Gee,0.00016,
Treacherous Three,0.00016,
I.C.3.,9.9E-05,
MC Duke,9.9E-05,
DJ Leader 1,9.9E-05,
Smith & Mighty,9.9E-05,
Kelz,9.9E-05,
Mad Frankie Fraser,9.9E-05,
Junior Cartier,0.00016,
West Street Mob,0.00016,
Dragon Ash,9.9E-05,
Rappagariya,9.9E-05,
Leslie Winer,9.9E-05,
Mantronix,9.9E-05,
Wondress Hutchinson,9.9E-05,
Disco D,0.00016,
Princess Superstar,0.00016,
Jonny L,9.9E-05,
Silver Bullet,9.9E-05,
IG Culture,9.9E-05,
J-88,9.9E-05,
Megashira,9.9E-05,
Lootpack,9.9E-05,
Dynamic Syncopation,0.00016,
Apathy,0.00016,
Big Ace,9.9E-05,
Sugarcane (3),9.9E-05,
King Britt,0.00016,
The Philadelphia Experiment,0.00016,
Lazy & Lisa,9.9E-05,
We Rock Hard,9.9E-05,
Priority One (3),0.00016,
Techmaster P.E.B.,0.00016,
Rap Conscious,0.00016,
Sugarhill Gang,0.00016,
Grandmaster Melle Mel & The Furious Five,9.9E-05,
Mr. Ness,9.9E-05,
Q-Tip,0.00016,
Tash,0.00016,
Kid606,9.9E-05,
Youssou N'Dour,0.00016,
Neneh Cherry,0.00016,
Smokey Dee,9.9E-05,
DXJ,9.9E-05,
Super J.B.,9.9E-05,
The Get Funky Crew,0.00016,
The Sequence,0.00016,
Cowboy,0.00016,
Scorpio (3),0.00016,
The 2 Live Crew,0.00016,
Trouble Funk,0.00016,
Stetsasonic,9.9E-05,
Rev. Jesse Jackson,9.9E-05,
Babatunde Olatunji,9.9E-05,
Drums Of Passion,9.9E-05,
T La Rock,0.00016,
Jazzy Jay,0.00016,
C-Jam,0.00016,
Kid Frost,0.00016,
Jay Dee,0.00016,
J Dilla,0.00016,
Ultramagnetic MC's,0.00016,
Kool Keith,0.00016,
Frighty,9.9E-05,
Colonel Mite,9.9E-05,
Le Juan Love,9.9E-05,
