v_name,pageranks
DJ Magic Mike,0.001326
Lil' Flip,0.001119
Slim Thug,0.001092
Beat Master Clay D.,0.000894
Roey Marquis II,0.000863
Roots Manuva,0.00083
Lil' Keke,0.000794
Three 6 Mafia,0.000616
Z-Ro,0.000612
Chamillionaire,0.000596
Paul Wall,0.000573
Fat Pat,0.000478
Papa Reu,0.00043
Seanie T.,0.000421
Mike Jones (2),0.0004
The Royal Posse,0.000388
Absztrakkt,0.000381
MC Madness,0.000371
"OG Ron ""C""",0.000349
Brixx,0.000347
H.A.W.K.,0.000343
Coldcut,0.000319
DJ Kay Slay,0.000318
Prince Rahiem,0.000313
West Street Mob,0.000313
Aim To Please,0.000313
7.L.C,0.000307
Scap G,0.000307
E.S.G. (2),0.000305
Total Kaos,0.000299
Nex (8),0.000298
DJ Mentat,0.000286
Eightball & M.J.G.,0.00028
Felix Sama,0.000273
Project Pat,0.000269
Ghetto Concept,0.000264
The Wreckshop Family,0.000253
Acaz,0.000253
Emel,0.000248
Calvin Mills II,0.000247
Da Germ,0.000238
K-Rino,0.000237
Zer.Fleisch,0.00023
YZ,0.000229
Mista Madd,0.000229
Spiritual Warriors,0.000229
Tow Down,0.000225
Outta Order,0.000215
George Benson,0.000215
Lil' Troy,0.000208
T2 (7),0.000208
Cl'che,0.000208
Dub Pistols,0.000206
The Get Fresh Girls,0.000203
Legend (4),0.000202
Kama Kazi,0.000202
Techmaster P.E.B.,0.000201
Lil' Wyte,0.000201
On-U Sound,0.000198
Big Pokey,0.000194
Toddla T,0.000192
K-Fik,0.000192
4Self,0.000192
Jody Breeze,0.000188
Matrix (6),0.000187
Spikey T,0.000187
Ali & Gipp,0.000185
Mike Watts (6),0.000184
Kirko Bangz,0.000183
Green Cross,0.000183
Ondubground,0.000183
Disco & The City Boyz,0.000182
Junior Cartier,0.00018
DJ Ideal (2),0.000178
Chill (17),0.000177
Crazy L'eggs,0.000172
Serocee,0.000171
Pesci,0.000171
Ami Miller,0.000165
MC Nas-D,0.000164
Boss Hogg Outlawz,0.00016
Cheryl The Pearl,0.00016
"Joey Robinson, Jr.",0.00016
Young D,0.00016
Superpower,0.00016
Harvy Dent,0.000158
Frayser Boy,0.000158
Neville Staple,0.000157
The New Get Funky Crew,0.000156
C.L. Audio (2),0.000153
Big Tyme,0.000151
Gemini (77),0.000144
Miami Boyz,0.000144
Yungstar,0.000144
Thundercat,0.000141
The Chopstars,0.000141
P.J. (4),0.000138
J Dawg,0.000138
Pymp Tyte,0.000136
Jiz Nicklez,0.000129
Lil' Flash,0.000128
Triple (2),0.000125
Wreckshop Wolfpack,0.000121
Wayne Marshall,0.00012
Quadmaster Uno,0.000119
Bligg,0.000109
DJ Spin,0.000108
Mr. Capone-E,0.000107
G.Rock,0.000104
Madd Hatta,0.000104
Marcello (3),0.000104
Cr7z,0.000104
Durrty Goodz,0.0001
The Get Funky Crew,9.7E-05
Nick Baby Love,9.7E-05
1-305,9.7E-05
Priority One (3),9.6E-05
Sticky Fingaz,9.5E-05
Floormaster Squeeze,9.3E-05
Wreckshop Records,9.3E-05
Bella (8),9.2E-05
Letoya,9.1E-05
Leftfield,8.9E-05
South Park Coalition,8.9E-05
Pal One,8.8E-05
Paul Cless,8.8E-05
Wreckin Yard,8.1E-05
Sqad Up,8E-05
Big Shasta,8E-05
Flip Gates,8E-05
Crime Boss,8E-05
Vicious Bass,7.9E-05
T. Isaam,7.9E-05
M.C. Boo,7.9E-05
Sir Mix-A-Lot,7.9E-05
Quesse,7.9E-05
Kandi,7.9E-05
Romey Rome,7.9E-05
DJ Harvey D,7.9E-05
Greg Street,7.8E-05
Tear Da Club Up Thugs,7.6E-05
Hypnotize Camp Posse,7.6E-05
D Boss,7.6E-05
Urban Mystic,7.6E-05
Chamillitary,7.3E-05
