v_name,pageranks,
Mos Def,0.001973,
Nate Dogg,0.001566,
Talib Kweli,0.001241,
Pharoahe Monch,0.000846,
Mariah Carey,0.000833,
Hi-Tek,0.000525,
Blue Sky Black Death,0.000494,
Illo 77,0.000454,
EL-P,0.00043,
Mike Zoot,0.00042,
Diamond D,0.000383,
Dave Ghetto,0.000368,
Simon Vegas,0.000344,
Reflection Eternal,0.000342,
Paolo 77,0.000326,
Mystic (6),0.000313,
Angie Martinez,0.000312,
Buzz (4),0.000308,
Akrobatik,0.0003,
LaTocha Scott,0.000277,
Jean Grae,0.000271,
Prefuse 73,0.00027,
Damizza,0.000265,
Shade Sheist,0.000265,
Sir Menelik,0.00025,
The Psychotic Neurotics,0.000243,
The Creators,0.000237,
"This, That & The 3rd",0.000233,
Hezekiah,0.000233,
Cyclops 4000,0.000216,
J-Shin,0.000214,
Consequence (2),0.000201,
Black Star,0.000197,
Rainer Knast,0.000196,
Blow Shit Up,0.000196,
Leon Le Pro,0.000196,
Donell Jones,0.000196,
The High & Mighty,0.000171,
Basic Vocab,0.000167,
Denyo,0.00016,
Holocaust (3),0.000159,
Nacho Picasso,0.000159,
Boyz II Men,0.000157,
Breez Evahflowin',0.000156,
Chan (3),0.000156,
Diverse,0.000148,
Cocoa Brovaz,0.000148,
Ambivalence,0.000146,
Othello,0.00014,
The Hipknotics,0.00014,
Labba,0.000137,
The Infamous MC,0.000137,
Mister Schnabel,0.000135,
Phantom Black,0.000135,
Robert Brooks (3),0.000122,
Despot,0.000114,
East Coast Family,0.000106,
Company Flow,0.000105,
S.A.S. (4),9.9E-05,
Sacario,9.8E-05,
The Books,9.6E-05,
School Of Seven Bells,9.6E-05,
98 Degrees,9.5E-05,
Preddy,9.1E-05,
Lone Ranger (3),8.2E-05,
Alec Empire,8E-05,
Big Red (3),8E-05,
Rubix (2),7.9E-05,
U.P.T.,7.8E-05,
Tru (2),7.3E-05,
Lord Tariq & Peter Gunz,6.7E-05,
Wally Sparks,6.6E-05,
Chico & Coolwadda,6.6E-05,
Massive Attack,6.5E-05,
Stephen Marley,6.5E-05,
Tyree Cooper,0,
J.M.D.,0,
"Julian ""Jumpin"" Perez",0,
Kool Rock Steady,0,
Techno Animal,0,
Dälek,0,
Saint Etienne,0,
Q-Tee,0,
Føn:Kïn,0,
Mad Famlee,0,
Percy X,0,
Blood Sugar,0,
Masters At Work,0,
India,0,
MC G.L.O.B.E.,0,
Pow Wow,0,
Master O.C.,0,
Krazy Eddie,0,
The Great Peso,0,
Tito (3),0,
The Main Attraction,0,
Afrika Bambaataa,0,
Zulu Nation,0,
Soulsonic Force,0,
Harlem Underground Band,0,
Eddie Mix,0,
Kool Slic,0,
Shut Up & Dance,0,
Peter Bouncer,0,
Newcleus,0,
Extra T's,0,
23 Skidoo,0,
Assassins With Soul,0,
MC 900 Ft Jesus,0,
DJ Zero,0,
Man Parrish,0,
Freeze Force,0,
The Unknown DJ,0,
DJ Slip (3),0,
X-Men (4),0,
DJ Food,0,
DK (3),0,
Dodge City Productions,0,
Guida De Palma,0,
Paul Hardcastle,0,
Universal Funk (2),0,
Jon Hassell,0,
Bluescreen,0,
Joey Jay,0,
Norman Jay,0,
MC Tunes,0,
808 State,0,
High Fidelity Three,0,
Sarah Dash,0,
Fingathing,0,
Mr. Scruff,0,
Renard With No Regard,0,
Ced What?,0,
E.V.I.A.N.,0,
The Atlantis Posse,0,
Cunnie Williams,0,
Monie Love,0,
Movement 98,0,
Carroll Thompson,0,
Jack Costanzo,0,
As One,0,
Yesterdays New Quintet,0,
Afrika Bambaataa & Soulsonic Force,0,
Shango,0,
D.St.,0,
The Infinity Rappers,0,
Fab 5 Freddy,0,
B-Side,0,
Jalaludin M. Nuriddin,0,
Rusty Pendleton,0,
The Toe Jammer,0,
Sure Shot Three,0,
Dynamic Duo (2),0,
Shaquan,0,
Mr. Nasty,0,
Power Jam,0,
Chill Rob G,0,
3B,0,
The Brother D.,0,
D.J. Short,0,
Max Zeke,0,
Gigolo Tony,0,
Lacey Lace,0,
MC Connection,0,
C-Bank,0,
Justin Warfield,0,
The S.O.U.N.D.,0,
Coon Daddy,0,
DJ Godfather,0,
RJD2,0,
Poppa Hopp,0,
