Label,v_degree
Tyree Cooper,1
J.M.D.,1
"Julian ""Jumpin"" Perez",1
Kool Rock Steady,1
Techno Animal,1
Dälek,4
Quannum MC's,10
Souls Of Mischief,12
Latyrx,10
El-P,13
DJ Shadow,13
DJ Krush,7
Saint Etienne,1
Q-Tee,2
Føn:Kïn,1
Mad Famlee,1
Percy X,1
Blood Sugar,1
Depeche Mode,1
Push Button Objects,3
Del Tha Funkee Homosapien,13
Mr. Lif,18
DJ Craze,4
Fresh 4,3
Lizz E.,3
Hibahihi,3
Silent Poets,3
Masters At Work,1
India,1
UNKLE,4
Takagi Kan,3
MC G.L.O.B.E.,3
Pow Wow,3
Master O.C.,4
Krazy Eddie,4
The Great Peso,6
Tito (3),4
The Main Attraction,4
Afrika Bambaataa,13
Zulu Nation,4
Soulsonic Force,4
Harlem Underground Band,5
Eddie Mix,1
Kool Slic,1
Nairobi,3
Awesome Foursome,3
Shut Up & Dance,1
Peter Bouncer,1
Coldcut,4
Floormaster Squeeze,1
Newcleus,3
Extra T's,1
Grandmaster Flash,11
Melle Mel,20
The Furious Five,7
23 Skidoo,1
Assassins With Soul,1
Leftfield,1
Roots Manuva,14
Goldie,1
KRS-One,50
MC 900 Ft Jesus,1
DJ Zero,1
Ronny Jordan,2
Man Parrish,2
Freeze Force,2
The Herbaliser,3
The Unknown DJ,4
DJ Slip (3),2
X-Men (4),2
Danger Mouse,4
Jemini The Gifted One,2
J-Zone,12
DJ Food,1
DK (3),1
Greg Osby,1
C.L. Smooth,13
Dodge City Productions,1
Guida De Palma,1
Paul Hardcastle,1
Universal Funk (2),1
Jon Hassell,1
Bluescreen,1
Joey Jay,1
Norman Jay,1
MC Tunes,1
808 State,1
Sparky D,4
The Playgirls,1
High Fidelity Three,1
Sarah Dash,1
Fingathing,1
Mr. Scruff,1
Renard With No Regard,1
Ced What?,1
E.V.I.A.N.,1
The Atlantis Posse,1
Cunnie Williams,1
Monie Love,1
Rebel MC,3
Double Trouble,1
Queen Latifah,17
Movement 98,1
Carroll Thompson,1
Jack Costanzo,2
As One,2
Yesterdays New Quintet,4
Afrika Bambaataa & Soulsonic Force,3
Shango,1
Skye,2
The Plagiawrists,2
Various,40
D.St.,2
The Infinity Rappers,1
Fab 5 Freddy,4
B-Side,1
Jalaludin M. Nuriddin,2
Rusty Pendleton,2
The Toe Jammer,2
Sure Shot Three,2
Kicks Like A Mule,3
Longsy D,5
Dynamic Duo (2),1
Shaquan,1
Mr. Nasty,1
Power Jam,1
Chill Rob G,1
Barrington Levy,4
3B,1
The Brother D.,1
D.J. Short,1
Max Zeke,1
Gigolo Tony,1
Lacey Lace,1
MC Connection,1
C-Bank,1
Justin Warfield,2
The S.O.U.N.D.,1
Coon Daddy,1
DJ Godfather,3
Mos Def,51
Diverse,2
Prefuse 73,4
RJD2,3
Poppa Hopp,2
The Dirty Birds,2
Funky Fresh Few,2
Dual Control,1
Rae & Christian,1
Jungle Brothers,5
Mary J. Blige,41
Common,33
Omid,2
Josh Martinez,3
Massive Attack,1
Kut Masta Kurt,6
Masters Of Illusion,1
Afu-Ra,7
Mekon,3
Schoolly D,4
"Kenny ""Dope"" Gonzalez",7
The Mad Racket,1
Brooke Russell,12
Gentleman,16
