Label,v_eigen_centrality,
Ghostface Killah,1,
Raekwon,0.989206,
Method Man,0.970057,
RZA,0.956132,
Inspectah Deck,0.952635,
GZA,0.929675,
Ol' Dirty Bastard,0.884657,
Wu-Tang Clan,0.882876,
U-God,0.882876,
Masta Killa,0.882876,
Tom Caruana,0.215021,
Cappadonna,0.166217,
The Genius,0.162067,
J-Love,0.143528,
Nas,0.123868,
Bobby Digital,0.108867,
Jimi Hendrix,0.108706,
The Beatles,0.108692,
Vingthor The Hurler,0.106582,
Onyx,0.106342,
Texas,0.106265,
Allah Mathematics,0.106244,
Killa Sin,0.083474,
DJ Muggs,0.075804,
Myalansky,0.051688,
Joe Mafia,0.051688,
Redman,0.050563,
Timbo King,0.049915,
Sunz Of Man,0.049902,
Wu-Tang Killa Bees,0.04989,
Black Knights of the North Star,0.04989,
Tony Starks,0.045299,
The Soul Assassins,0.038623,
Funkmaster Flex,0.036747,
The Harlem Hoodz,0.034524,
B-Real,0.032296,
LL Cool J,0.025619,
MF Doom,0.025201,
Method Man & Redman,0.025141,
Busta Rhymes,0.023662,
D'Angelo,0.023549,
Rollie Fingers,0.023546,
American Cream Team,0.023207,
B-Twizzy,0.023207,
Chip Banky B,0.023207,
Polite,0.023207,
Nino,0.023207,
Mary J. Blige,0.0232,
BadBadNotGood,0.022861,
Adrian Younge,0.0228,
DJ Thoro,0.022649,
Xavier Naidoo,0.021934,
Prodigal Sunn,0.021681,
Cypress Hill,0.019777,
Rahzel,0.016702,
Ja Rule,0.016643,
2Pac,0.015172,
Ashanti,0.014254,
DMX,0.013766,
Kelis,0.013756,
War,0.013527,
Jonell,0.013517,
KRS-One,0.013478,
The-Dream,0.013345,
Fabolous,0.013331,
Big Kap,0.013324,
ElonSkee,0.013167,
Young Mac,0.013166,
Dio,0.012873,
Mike Shorey,0.012868,
The Madd,0.012868,
Raheem Devaughn,0.012868,
TruthVybez,0.012868,
Tricky,0.012283,
Fat Joe,0.012211,
Coolio,0.012093,
Doo Wop,0.012047,
Lil' Eazy-E,0.01193,
Biggie Smalls,0.01193,
D&D All-Stars,0.011909,
Kurupt,0.011684,
Tyrese,0.011551,
Trife,0.011545,
Prince Paul,0.011442,
DJ Tomekk,0.011437,
Poetic,0.01142,
Gravediggaz,0.011417,
Frukwan,0.011417,
Max Tannone,0.011386,
1200 Techniques,0.011386,
Prodigy,0.011358,
Curse (3),0.011357,
Aesop Rock,0.011334,
Del Tha Funkee Homosapien,0.011332,
Kam (2),0.011331,
Musiq,0.011311,
Tash,0.011308,
Black Ty,0.011308,
Styles P,0.011273,
Tiffany Villarreal,0.011266,
El Michels Affair,0.011263,
Paul Wall,0.01126,
Stieber Twins,0.011135,
Pete Rock,0.011079,
Run-DMC,0.011068,
Teddy Riley,0.011054,
Chris Brown (4),0.01101,
Kool G Rap,0.010972,
Eightball & M.J.G.,0.010959,
Pras Michel,0.010923,
Nigo,0.010892,
I:Cube,0.010887,
Real Live,0.010887,
The Black Keys,0.010887,
Prince Fatty,0.010468,
Hollie Cook,0.010468,
Horseman (2),0.010468,
Justin Bieber,0.01043,
Peaches Lavon,0.010317,
Mya,0.010295,
Sirens,0.010189,
Vigilante (2),0.010189,
Black Keith,0.010073,
60 Second Assassin,0.010073,
Master Fuol,0.010073,
Erick Sermon,0.00761,
Snoop Dogg,0.007466,
Keith Murray,0.006766,
Black Thought,0.006704,
Malik B.,0.006697,
James Poyser,0.006675,
The Roots,0.006672,
Dice Raw,0.006672,
Def Squad,0.005827,
Jamal,0.005827,
Damian Marley,0.004726,
Erick Onasis,0.004654,
Notorious B.I.G.,0.004591,
Nature (4),0.004398,
Nasir Jones,0.004248,
50 Cent,0.003483,
Pharrell Williams,0.003469,
Rakim,0.00338,
Dr. Dre,0.003229,
Kanye West,0.003177,
Jay-Z,0.003172,
Rick Ross,0.002919,
Rusko,0.002912,
Jully Black,0.002837,
The Game (2),0.002665,
Grand Agent,0.002576,
Lil Wayne,0.00256,
Nate Dogg,0.002531,
Meyhem,0.002521,
Slick Rick,0.002449,
Teej,0.002448,
Big L,0.002447,
Lloyd Banks,0.002385,
Wu Syndicate,0.002354,
Irv Gotti,0.00233,
Lil' Jon,0.002256,
De La Soul,0.002227,
Jermaine Dupri,0.002132,
Jacken,0.002088,
DJ Whoo Kid,0.002067,
Wyclef Jean,0.002054,
DJ J-Period,0.002038,
Young Buck,0.002022,
DJ Enuff,0.001992,
Pitbull,0.001973,
Mister Cee,0.001965,
The INC,0.001961,
Q-Tip,0.00196,
Big Daddy Kane,0.001953,
Wiz Khalifa,0.001943,
Akon,0.00193,
Eve (2),0.001906,
Kidd Kidd,0.001902,
Masta Ace,0.0019,
Mick Boogie,0.001897,
Tony Yayo,0.001897,
Alicia Keys,0.001896,
Draztik Mezurz,0.001893,
Ludacris,0.001882,
G-Unit,0.001876,
The Game,0.001876,
Mos Def,0.001867,
Kardinal Offishall,0.001854,
Gza,0.001845,
