Id,Label
n6,Quannum MC's,west
n7,Souls Of Mischief,west
n8,Latyrx,west
n9,El-P,east
n10,DJ Shadow,west
n11,DJ Krush,japan
n18,Depeche Mode,uk
n19,Push Button Objects,south
n20,Del Tha Funkee Homosapien,west
n21,Mr. Lif,east
n22,DJ Craze,south
n23,Fresh 4,uk
n24,Lizz E.,uk
n25,Hibahihi,japan
n26,Silent Poets,japan
n29,UNKLE,uk
n30,Takagi Kan,japan
n44,Nairobi,japan
n45,Awesome Foursome,east
n48,Coldcut,uk
n49,Floormaster Squeeze,uk
n52,Grandmaster Flash,east
n53,Melle Mel,east
n54,The Furious Five,east
n57,Leftfield,uk
n58,Roots Manuva,uk
n59,Goldie,uk
n60,KRS-One,east
n63,Ronny Jordan,uk
n66,The Herbaliser,uk
n70,Danger Mouse,east
n71,Jemini The Gifted One,east
n72,J-Zone,east
n75,Greg Osby,mid-west
n76,C.L. Smooth,east
n87,Sparky D,east
n88,The Playgirls,east
n99,Rebel MC,uk
n100,Double Trouble,south
n101,Queen Latifah,east
n109,Skye,uk
n110,The Plagiawrists,uk
n111,Various,na
n120,Kicks Like A Mule,uk
n121,Longsy D,uk
n127,Barrington Levy,uk
n140,Mos Def,east
n141,Diverse,mid-west
n142,Prefuse 73,south
n146,Funky Fresh Few,uk
n147,Dual Control,uk
n150,Mary J. Blige,east
n151,Common,mid-west
n152,Omid,west
n153,Josh Martinez,canada
n154,Massive Attack,uk
n155,Kut Masta Kurt,west
n156,Masters Of Illusion,west
n157,Afu-Ra,east
n160,"Kenny ""Dope"" Gonzalez",east
n161,The Mad Racket,east
n162,Brooke Russell,uk
n163,Gentleman,germany
n164,Dynamix II,south
n165,Too Tough Tee,south
n168,Aesop Rock,east
n169,L-Fudge,east
n170,Mathematik,east
n171,Nigo,japan
n172,Scratch Perverts,uk
n173,Maxi Jazz,uk
n174,Soul Food Cafe,uk
n175,Tricky,uk
n176,Gravediggaz,east
n177,DJ Shadow And The Groove Robbers,west
n178,Chief Xcel,west
n179,Cut Chemist,east
n188,Roger Sanchez,east
n189,Kurtis Mantronik,east
n190,EPMD,east
n191,Screechy Dan,east
n192,Boomoperators,netherlands
n193,Funckarma,netherlands
n194,White Boy Mike,international
n195,DJ The Boy,international
n200,Axxis,germany
n201,Thomilla,germany
n202,Afrob,germany
n203,Cyclops 4000,east
n204,Sir Menelik,east
