artist,release
"Tyree Cooper","Move Your Body[RELEASE]"
J.M.D.,"Move Your Body[RELEASE]"
"Julian ""Jumpin"" Perez","Ain't We Funky Now[RELEASE]"
"Kool Rock Steady","Ain't We Funky Now[RELEASE]"
"Techno Animal","Megaton / Classical Homicide[RELEASE]"
"Dälek","Megaton / Classical Homicide[RELEASE]"
"Quannum MC's","The Extravaganza / Looking Over A City[RELEASE]"
"Souls Of Mischief","The Extravaganza / Looking Over A City[RELEASE]"
Latyrx,"The Extravaganza / Looking Over A City[RELEASE]"
El-P,"The Extravaganza / Looking Over A City[RELEASE]"
"DJ Shadow","Lost And Found (S.F.L.) / Kemuri[RELEASE]"
"DJ Krush","Lost And Found (S.F.L.) / Kemuri[RELEASE]"
"Saint Etienne",Filthy[RELEASE]
Q-Tee,Filthy[RELEASE]
"Føn:Kïn",Monticello[RELEASE]
"Mad Famlee",Monticello[RELEASE]
"Percy X","- 3[RELEASE]"
"Blood Sugar","- 3[RELEASE]"
"DJ Shadow","Number Song / Painkiller[RELEASE]"
"Depeche Mode","Number Song / Painkiller[RELEASE]"
"Push Button Objects","360°[RELEASE]"
"Del Tha Funkee Homosapien","360°[RELEASE]"
"Mr. Lif","360°[RELEASE]"
"DJ Craze","360°[RELEASE]"
"Fresh 4","Wishing On A Star[RELEASE]"
"Lizz E.","Wishing On A Star[RELEASE]"
Hibahihi,001[RELEASE]
"Silent Poets",001[RELEASE]
"Masters At Work","I Can't Get No Sleep[RELEASE]"
India,"I Can't Get No Sleep[RELEASE]"
UNKLE,"Last Orgy 3 Special Remixes[RELEASE]"
"Takagi Kan","Last Orgy 3 Special Remixes[RELEASE]"
"MC G.L.O.B.E.","Celebrate! (Everybody)[RELEASE]"
"Pow Wow","Celebrate! (Everybody)[RELEASE]"
"Master O.C.","Masters Of The Scratch[RELEASE]"
"Krazy Eddie","Masters Of The Scratch[RELEASE]"
"The Great Peso","Masters Of The Scratch[RELEASE]"
"Tito (3)","Masters Of The Scratch[RELEASE]"
"The Main Attraction","Masters Of The Scratch[RELEASE]"
"Afrika Bambaataa","Zulu Nation Throw Down (Volume #2)[RELEASE]"
"Zulu Nation","Zulu Nation Throw Down (Volume #2)[RELEASE]"
"Soulsonic Force","Zulu Nation Throw Down (Volume #2)[RELEASE]"
"Harlem Underground Band","Zulu Nation Throw Down (Volume #2)[RELEASE]"
"Eddie Mix","Back Into Time[RELEASE]"
"Kool Slic","Back Into Time[RELEASE]"
Nairobi,"Funky Soul Makossa[RELEASE]"
"Awesome Foursome","Funky Soul Makossa[RELEASE]"
"Shut Up & Dance","Raving I'm Raving[RELEASE]"
"Peter Bouncer","Raving I'm Raving[RELEASE]"
Coldcut,"Beats + Pieces[RELEASE]"
"Floormaster Squeeze","Beats + Pieces[RELEASE]"
Newcleus,"Jam On It / Ex'tra T's  Boogie[RELEASE]"
"Extra T's","Jam On It / Ex'tra T's  Boogie[RELEASE]"
"Grandmaster Flash","The Best Of Grandmaster Flash, Melle Mel & The Furious Five (Message From Beat Street)[RELEASE]"
"Melle Mel","The Best Of Grandmaster Flash, Melle Mel & The Furious Five (Message From Beat Street)[RELEASE]"
"The Furious Five","The Best Of Grandmaster Flash, Melle Mel & The Furious Five (Message From Beat Street)[RELEASE]"
"23 Skidoo","23 Skidoo Vs. The Assassins With Soul[RELEASE]"
"Assassins With Soul","23 Skidoo Vs. The Assassins With Soul[RELEASE]"
Leftfield,Dusted[RELEASE]
"Roots Manuva",Dusted[RELEASE]
Goldie,Digital[RELEASE]
KRS-One,Digital[RELEASE]
"MC 900 Ft Jesus","Hell With The Lid Off[RELEASE]"
"DJ Zero","Hell With The Lid Off[RELEASE]"
"Ronny Jordan","Bad Brothers[RELEASE]"
"DJ Krush","Bad Brothers[RELEASE]"
"Man Parrish","Boogie Down (Bronx)[RELEASE]"
"Freeze Force","Boogie Down (Bronx)[RELEASE]"
"MC 900 Ft Jesus","UFO's Are Real[RELEASE]"
"DJ Zero","UFO's Are Real[RELEASE]"
"The Herbaliser","8 Point Agenda[RELEASE]"
Latyrx,"8 Point Agenda[RELEASE]"
"The Unknown DJ",X-Men[RELEASE]
"DJ Slip (3)",X-Men[RELEASE]
"X-Men (4)",X-Men[RELEASE]
"Danger Mouse","Take Care Of Business[RELEASE]"
"Jemini The Gifted One","Take Care Of Business[RELEASE]"
J-Zone,"Take Care Of Business[RELEASE]"
"DJ Food","Now, Listen![RELEASE]"
"DK (3)","Now, Listen![RELEASE]"
"Greg Osby",Raise[RELEASE]
"C.L. Smooth",Raise[RELEASE]
"Dodge City Productions","As Long As We're Around[RELEASE]"
"Guida De Palma","As Long As We're Around[RELEASE]"
"Paul Hardcastle","Zero One[RELEASE]"
"Universal Funk (2)","Zero One[RELEASE]"
"Jon Hassell","Dressing For Pleasure[RELEASE]"
Bluescreen,"Dressing For Pleasure[RELEASE]"
"Joey Jay","Good Times[RELEASE]"
"Norman Jay","Good Times[RELEASE]"
"Joey Jay","Good Times 2[RELEASE]"
"Norman Jay","Good Times 2[RELEASE]"
"MC Tunes","Tunes Splits The Atom[RELEASE]"
"808 State","Tunes Splits The Atom[RELEASE]"
"Sparky D","The Battle[RELEASE]"
